name,address,website,tel
,"Lower Ground Level, Glasgow, G1 2GF",http://www.costa.co.uk,0141 332 8930
,"Unit X8, Glasgow, G53 6QR",http://www.costa.co.uk,0141 881 5735
,"Unit 4, Level 3 Buchanan Galleries, Glasgow, G2 3GF",http://www.caffenero.com,0141 332 0385
,"Unit 15 1st floor, Buchanan Galleries Buchanan St, Glasgow, G1 3JN",http://www.starbucks.co.uk,0141 333 9187
,"U5-6 Level 2 Buchanan Galleries, Glasgow, G1 2GF",http://www.greggs.co.uk,0141 332 6614
,"Buchanan Bus Station, Killermont St, Glasgow, G2 3NW",http://www.ampmhandyman.co.uk/,0141 258 5356
,"U3 Buchanan Business Station, 16 Killermont St, Glasgow, G2 3NW",http://www.greggs.co.uk,0141 332 2363
,"Queen Street Railway Station, Dundas St, Glasgow, G1 2AF",http://www.amtcoffee.co.uk,0141 353 0565
,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,
,"127 Hope St, Glasgow, G2 6PE",,0141 258 3838
,"162-164 Buchanan St, Glasgow, G1 2LW",http://www.greggs.co.uk,0141 332 9542
,"7 Renfrew Street, GLASGOW, G2 3AB",http://www.coffeerepublic.co.uk,0141 353 2898
,"34 Sauchiehall St, Glasgow, G2 3AH",https://locations.pret.co.uk/glasgow/34-sauchiehall-street,0141 333 9647
,"27 Sauchiehall St, Glasgow, G2 3AT",http://www.starbucks.co.uk,0141 332 7852
,"75 West Nile St, Glasgow, G1 2SH",http://www.coffeerepublic.co.uk,0141 332 0080
,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,
,"93 West Nile Street, GLASGOW, G1 2PR",,0141 353 1111
,"1a Dundas St, Glasgow, G1 2AH",http://www.caffenero.co.uk,0141 353 2229
,"163 Buchanan St, Glasgow, G1 2JX",http://www.wildolivetree.co.uk,0141 248 2049
,"185 Buchanan St, Glasgow, G1 2JZ",,0141 353 3833
,"110 West George St, Glasgow, G2 1QJ",http://www.cafewander.com,0141 353 3968
,"Buchanan Street, GLASGOW, G1 2GF",,0141 354 0092
,"Unit 335 St Enoch Centre, 55, St Enoch Square, Glasgow, G1 4BW",,0141 611 2280
,"87 Renfield St, Glasgow, G2 1LP",,0141 353 1911
,"Unit 1 George House, Glasgow, G2 1EH",http://www.costa.co.uk,0141 552 0448
